release_id,estimation_period,frame_vintage,universe,geography_level,geography_id,concept,estimand,estimate,unit,weighted_numerator,weighted_denominator,coverage,design_id,weight_semantics,uncertainty_status
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,58,poverty,fgt1,0.24202515177286327,proportion,531.4872332932077,2196.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,58,poverty,fgt2,0.1701930649158481,proportion,373.7439705552024,2196.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,58,indigence,fgt0,0.17938204872234573,proportion,393.9229789942712,2196.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,58,indigence,fgt1,0.11403586755806946,proportion,250.42276515752053,2196.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,58,indigence,fgt2,0.09532361008178991,proportion,209.33064773961064,2196.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,62,poverty,fgt0,0.464259180886542,proportion,1117.9361075747931,2408.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,62,poverty,fgt1,0.23879935003435723,proportion,575.0288348827322,2408.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,62,poverty,fgt2,0.16933642423220566,proportion,407.76210955115124,2408.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,62,indigence,fgt0,0.17880177019736884,proportion,430.55466263526415,2408.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,62,indigence,fgt1,0.11485342213772874,proportion,276.5670405076508,2408.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
poverty-estimate-release-2024-q3-province-predictive-v1,2024-Q3,2010,households,province_2010,62,indigence,fgt2,0.0965097023859185,proportion,232.39536334529174,2408.0,1.0,unit_weight_target_year_sample_research_v1,unit household weight,not_supplied
